step,action9,z1_action9,target_gripper,actual_gripper,gripper_error_rad,ik_source,last_error
38,-1.567383050918579,-1.5673828125,-1.567383,-0.886039,-0.6813437938690186,hold:global,
39,-1.567383050918579,-1.5673828125,-1.567383,-0.943628,-0.6237547993659973,hold:global,
40,-1.5703120231628418,-1.5703125,-1.570312,-0.988373,-0.5819395184516907,hold:global,
41,-1.5703120231628418,-1.5703125,-1.570312,-0.993353,-0.576959490776062,hold:local,
42,-1.5683590173721313,-1.568359375,-1.568359,-1.050004,-0.5183553695678711,hold:local,
43,-1.567383050918579,-1.5673828125,-1.567383,-1.09885,-0.4685328006744385,hold:local,
44,-1.5683590173721313,-1.568359375,-1.568359,-1.123688,-0.4446713924407959,hold:local,
45,-1.5683590173721313,-1.568359375,-1.568359,-1.156734,-0.41162538528442383,hold:local,
46,-1.4433590173721313,-1.443359375,-1.443359,-1.198228,-0.24513137340545654,hold:local,
47,-1.4296879768371582,-1.4296875,-1.429688,-1.198228,-0.23145949840545654,hold:local,
48,-1.4316409826278687,-1.431640625,-1.431641,-1.24187,-0.18977057933807373,hold:local,
49,-1.402343988418579,-1.40234375,-1.402344,-1.286013,-0.11633074283599854,hold:local,
50,-1.4091800451278687,-1.4091796875,-1.40918,-1.327366,-0.08181369304656982,hold:local,
51,-1.4150389432907104,-1.4150390625,-1.415039,-1.327366,-0.08767306804656982,hold:local,
52,-1.4980469942092896,-1.498046875,-1.498047,-1.362647,-0.13539981842041016,local,trajectory_extended:0.4120s
53,-1.4902340173721313,-1.490234375,-1.490234,-1.381769,-0.10846543312072754,hold:local,
54,-1.484375,-1.484375,-1.484375,-1.400466,-0.0839090347290039,hold:local,
55,-1.4677740335464478,-1.4677734375,-1.467773,-1.416283,-0.0514904260635376,hold:local,
56,-1.4746090173721313,-1.474609375,-1.474609,-1.442538,-0.03207135200500488,hold:local,
57,-1.4814449548721313,-1.4814453125,-1.481445,-1.444597,-0.03684830665588379,hold:local,
58,-1.5625,-1.5625,-1.5625,-1.444597,-0.11790299415588379,hold:local,
59,-1.5595699548721313,-1.5595703125,-1.55957,-1.477955,-0.08161532878875732,hold:local,
60,-1.5595699548721313,-1.5595703125,-1.55957,-1.477955,-0.08161532878875732,hold:local,
61,-1.5595699548721313,-1.5595703125,-1.55957,-1.481006,-0.07856428623199463,hold:local,
62,-1.5605469942092896,-1.560546875,-1.560547,-1.482469,-0.07807791233062744,hold:local,
63,-1.557616949081421,-1.5576171875,-1.557617,-1.484286,-0.07333123683929443,local,trajectory_extended:0.1551s
64,-0.8505859971046448,-0.8505859375,-0.850586,-1.494888,0.6443020105361938,hold:local,
65,-0.7998049855232239,-0.7998046875,-0.799805,-1.509266,0.7094613313674927,hold:local,
66,-0.7749019861221313,-0.77490234375,-0.774902,-1.5424,0.7674976587295532,hold:local,
67,-0.7314450144767761,-0.7314453125,-0.731445,-1.557215,0.8257696628570557,hold:local,
68,-0.714356005191803,-0.71435546875,-0.714355,-1.564047,0.8496915102005005,hold:local,
69,-0.7084959745407104,-0.70849609375,-0.708496,-1.566165,0.8576688766479492,hold:local,
70,-0.8798829913139343,-0.8798828125,-0.879883,-1.560206,0.6803232431411743,hold:local,
71,-0.8652340173721313,-0.865234375,-0.865234,-1.508883,0.643648624420166,hold:global,
72,-0.8574219942092896,-0.857421875,-0.857422,-1.508883,0.651461124420166,hold:global,
73,-0.7998049855232239,-0.7998046875,-0.799805,-1.457583,0.657778263092041,hold:local,
74,-0.8222659826278687,-0.822265625,-0.822266,-1.457583,0.635317325592041,hold:local,
75,-0.7998049855232239,-0.7998046875,-0.799805,-1.430089,0.630284309387207,hold:local,
76,-0.6655269861221313,-0.66552734375,-0.665527,-1.340387,0.6748596429824829,hold:local,
77,-0.6333010196685791,-0.63330078125,-0.633301,-1.291093,0.6577922105789185,hold:local,
78,-0.6196290254592896,-0.61962890625,-0.619629,-1.27367,0.654041051864624,hold:local,
79,-0.5683590173721313,-0.568359375,-0.568359,-1.237645,0.6692856550216675,hold:local,
80,-0.5595700144767761,-0.5595703125,-0.55957,-1.216506,0.6569356918334961,hold:local,
81,-0.5463870167732239,-0.54638671875,-0.546387,-1.216506,0.6701192855834961,local,trajectory_extended:0.3597s
82,-0.8554689884185791,-0.85546875,-0.855469,-1.216506,0.3610372543334961,local,trajectory_extended:0.3597s
83,-0.8369140028953552,-0.8369140625,-0.836914,-1.141052,0.3041379451751709,hold:local,
84,-0.8232420086860657,-0.8232421875,-0.823242,-1.125464,0.30222177505493164,hold:local,
85,-0.7792969942092896,-0.779296875,-0.779297,-1.079946,0.30064916610717773,local,trajectory_extended:0.3110s
86,-0.7705079913139343,-0.7705078125,-0.770508,-1.062559,0.29205119609832764,hold:local,
87,-0.7529299855232239,-0.7529296875,-0.75293,-1.0527,0.2997703552246094,local,trajectory_extended:0.1779s
88,-1.0439449548721313,-1.0439453125,-1.043945,-1.0527,0.008754730224609375,local,trajectory_extended:0.1779s
89,-1.042968988418579,-1.04296875,-1.042969,-1.027561,-0.015407800674438477,local,
90,-1.036133050918579,-1.0361328125,-1.036133,-1.027561,-0.008571863174438477,local,
91,-1.0185550451278687,-1.0185546875,-1.018555,-1.005306,-0.013248682022094727,hold:local,
92,-1.015625,-1.015625,-1.015625,-1.005306,-0.010318994522094727,hold:local,
93,-1.0029300451278687,-1.0029296875,-1.00293,-0.98599,-0.01693969964981079,local,trajectory_extended:0.2564s
94,-0.5249019861221313,-0.52490234375,-0.524902,-0.979476,0.4545736312866211,hold:local,
95,-0.5161129832267761,-0.51611328125,-0.516113,-0.965812,0.4496987462043762,local,trajectory_extended:0.3354s
96,-0.5219730138778687,-0.52197265625,-0.521973,-0.964585,0.44261234998703003,local,
97,-0.4794920086860657,-0.4794921875,-0.479492,-0.962125,0.4826328158378601,local,trajectory_extended:0.3501s
98,-0.46240198612213135,-0.46240234375,-0.462402,-0.936967,0.47456467151641846,hold:local,
99,-0.4555659890174866,-0.45556640625,-0.455566,-0.935262,0.4796956181526184,local,trajectory_extended:0.3573s
100,-0.7045900225639343,-0.70458984375,-0.70459,-0.912506,0.20791614055633545,hold:local,
101,-0.6806640028953552,-0.6806640625,-0.680664,-0.871142,0.19047796726226807,hold:local,
102,-0.6572269797325134,-0.6572265625,-0.657227,-0.871142,0.21391546726226807,hold:local,
103,-0.5795900225639343,-0.57958984375,-0.57959,-0.867384,0.28779417276382446,local,
104,-0.5698239803314209,-0.56982421875,-0.569824,-0.851442,0.28161776065826416,local,trajectory_extended:0.2755s
105,-0.5302730202674866,-0.5302734375,-0.530273,-0.851442,0.32116854190826416,local,trajectory_extended:0.2755s
106,-0.4404299855232239,-0.4404296875,-0.44043,-0.851442,0.41101229190826416,local,
107,-0.43115198612213135,-0.43115234375,-0.431152,-0.851442,0.42028963565826416,local,
108,-0.41650399565696716,-0.41650390625,-0.416504,-0.851442,0.43493807315826416,local,
109,-0.4091799855232239,-0.4091796875,-0.40918,-0.851442,0.44226229190826416,local,trajectory_extended:0.1971s
110,-0.3974609971046448,-0.3974609375,-0.397461,-0.820703,0.42324209213256836,local,
111,-0.3979490101337433,-0.39794921875,-0.397949,-0.820703,0.42275381088256836,local,
112,-1.1113280057907104,-1.111328125,-1.111328,-0.797281,-0.31404709815979004,local,
113,-1.1074219942092896,-1.107421875,-1.107422,-0.784454,-0.32296788692474365,local,trajectory_extended:0.2550s
114,-1.0996090173721313,-1.099609375,-1.099609,-0.780531,-0.31907838582992554,hold:local,
115,-1.078125,-1.078125,-1.078125,-0.775994,-0.3021309971809387,local,trajectory_extended:0.3842s
116,-1.074218988418579,-1.07421875,-1.074219,-0.775994,-0.2982247471809387,local,
117,-1.058593988418579,-1.05859375,-1.058594,-0.76738,-0.2912137508392334,hold:local,
118,-0.7773439884185791,-0.77734375,-0.777344,-0.753468,-0.023875772953033447,hold:local,
119,-0.7763670086860657,-0.7763671875,-0.776367,-0.753468,-0.022899210453033447,hold:local,
120,-0.7763670086860657,-0.7763671875,-0.776367,-0.745226,-0.031141161918640137,hold:local,
121,-0.7402340173721313,-0.740234375,-0.740234,-0.74283,0.0025956034660339355,local,trajectory_extended:0.2936s
122,-0.7294920086860657,-0.7294921875,-0.729492,-0.734045,0.0045528411865234375,hold:local,
123,-0.7060549855232239,-0.7060546875,-0.706055,-0.725018,0.018963336944580078,hold:local,
124,-0.5751950144767761,-0.5751953125,-0.575195,-0.717455,0.14225971698760986,hold:local,
125,-0.5595700144767761,-0.5595703125,-0.55957,-0.711566,0.15199565887451172,hold:local,
126,-0.5566409826278687,-0.556640625,-0.556641,-0.709006,0.15236538648605347,hold:local,
127,-0.5288090109825134,-0.52880859375,-0.528809,-0.704982,0.1761733889579773,hold:local,
128,-0.5151370167732239,-0.51513671875,-0.515137,-0.702062,0.18692529201507568,local,trajectory_extended:0.2300s
129,-0.5004879832267761,-0.50048828125,-0.500488,-0.702062,0.20157372951507568,local,
130,-0.84375,-0.84375,-0.84375,-0.691642,-0.15210801362991333,hold:local,
131,-0.8427730202674866,-0.8427734375,-0.842773,-0.684622,-0.15815144777297974,hold:local,
132,-0.8076170086860657,-0.8076171875,-0.807617,-0.684368,-0.12324917316436768,hold:local,
133,-0.7714840173721313,-0.771484375,-0.771484,-0.683536,-0.08794838190078735,local,trajectory_extended:0.3134s
134,-0.7431640028953552,-0.7431640625,-0.743164,-0.676828,-0.06633603572845459,local,trajectory_extended:0.3048s
135,-0.734375,-0.734375,-0.734375,-0.651889,-0.08248597383499146,hold:local,
136,-0.9160159826278687,-0.916015625,-0.916016,-0.65124,-0.2647756338119507,hold:local,
137,-0.8876950144767761,-0.8876953125,-0.887695,-0.64252,-0.245175302028656,hold:local,
138,-0.8657230138778687,-0.86572265625,-0.865723,-0.64213,-0.2235926389694214,hold:local,
139,-0.8164060115814209,-0.81640625,-0.816406,-0.64213,-0.1742762327194214,hold:local,
140,-0.7983400225639343,-0.79833984375,-0.79834,-0.64213,-0.1562098264694214,local,trajectory_extended:0.3546s
141,-0.7773439884185791,-0.77734375,-0.777344,-0.637782,-0.13956177234649658,hold:local,
142,-1.4902340173721313,-1.490234375,-1.490234,-0.637782,-0.8524523973464966,local,trajectory_extended:0.2303s
143,-1.4716800451278687,-1.4716796875,-1.47168,-0.637735,-0.8339446783065796,hold:local,
144,-1.458008050918579,-1.4580078125,-1.458008,-0.637753,-0.8202548027038574,hold:local,
145,-1.4130860567092896,-1.4130859375,-1.413086,-0.637753,-0.7753329277038574,local,trajectory_extended:0.3520s
146,-1.3916020393371582,-1.3916015625,-1.391602,-0.637764,-0.7538375854492188,local,
147,-1.359375,-1.359375,-1.359375,-0.637764,-0.7216110229492188,local,
148,-1.4667969942092896,-1.466796875,-1.466797,-0.637764,-0.8290328979492188,local,
149,-1.457031011581421,-1.45703125,-1.457031,-0.6378,-0.8192312717437744,local,
150,-1.4394530057907104,-1.439453125,-1.439453,-0.637977,-0.8014761209487915,local,
151,-1.3769530057907104,-1.376953125,-1.376953,-0.638449,-0.7385041117668152,local,
152,-1.3583979606628418,-1.3583984375,-1.358398,-0.639151,-0.7192474603652954,local,
153,-1.3115240335464478,-1.3115234375,-1.311523,-0.640331,-0.671192467212677,local,
154,-1.4208979606628418,-1.4208984375,-1.420898,-0.640343,-0.7805554270744324,local,
155,-1.421875,-1.421875,-1.421875,-0.641292,-0.7805830240249634,local,
156,-1.3984379768371582,-1.3984375,-1.398438,-0.64377,-0.7546675205230713,local,
157,-1.338866949081421,-1.3388671875,-1.338867,-0.646414,-0.6924532055854797,local,trajectory_extended:0.1864s
158,-1.324218988418579,-1.32421875,-1.324219,-0.647971,-0.676247775554657,hold:local,
159,-1.2822259664535522,-1.2822265625,-1.282227,-0.659488,-0.6227385401725769,hold:local,
160,-1.3212889432907104,-1.3212890625,-1.321289,-0.659488,-0.6618010401725769,hold:local,
161,-1.3027340173721313,-1.302734375,-1.302734,-0.671052,-0.6316823959350586,local,
162,-1.2666020393371582,-1.2666015625,-1.266602,-0.671052,-0.5955495834350586,local,
163,-1.1875,-1.1875,-1.1875,-0.700085,-0.48741501569747925,hold:local,
164,-1.152343988418579,-1.15234375,-1.152344,-0.716983,-0.43536072969436646,hold:local,
165,-1.097656011581421,-1.09765625,-1.097656,-0.725219,-0.3724372386932373,hold:local,
166,-0.7802730202674866,-0.7802734375,-0.780273,-0.771067,-0.009206414222717285,hold:local,
167,-0.7783200144767761,-0.7783203125,-0.77832,-0.783522,0.00520169734954834,hold:local,
168,-0.7509769797325134,-0.7509765625,-0.750977,-0.815352,0.06437546014785767,hold:local,
169,-0.7109379768371582,-0.7109375,-0.710938,-0.815352,0.10441452264785767,hold:local,
170,-0.7065430283546448,-0.70654296875,-0.706543,-0.815352,0.10880905389785767,hold:local,
171,-0.6752930283546448,-0.67529296875,-0.675293,-0.801116,0.1258230209350586,hold:local,
172,-0.5522459745407104,-0.55224609375,-0.552246,-0.798054,0.24580788612365723,hold:local,
173,-0.5551760196685791,-0.55517578125,-0.555176,-0.76853,0.213354229927063,hold:local,
174,-0.5527340173721313,-0.552734375,-0.552734,-0.74352,0.19078564643859863,local,trajectory_extended:0.3026s
175,-0.5439450144767761,-0.5439453125,-0.543945,-0.733886,0.1899406909942627,hold:local,
176,-0.5351560115814209,-0.53515625,-0.535156,-0.733886,0.1987297534942627,hold:local,
177,-0.53125,-0.53125,-0.53125,-0.721526,0.19027602672576904,local,
178,-1.1152340173721313,-1.115234375,-1.115234,-0.714941,-0.40029335021972656,local,trajectory_extended:0.2467s
179,-1.1152340173721313,-1.115234375,-1.115234,-0.676651,-0.4385833740234375,hold:local,
180,-1.0966800451278687,-1.0966796875,-1.09668,-0.672609,-0.42407071590423584,local,trajectory_extended:0.5071s
181,-1.0683590173721313,-1.068359375,-1.068359,-0.669323,-0.39903634786605835,hold:local,
182,-1.051758050918579,-1.0517578125,-1.051758,-0.658609,-0.39314883947372437,local,
183,-1.0292969942092896,-1.029296875,-1.029297,-0.625605,-0.4036918878555298,hold:local,
184,-0.6923829913139343,-0.6923828125,-0.692383,-0.617716,-0.07466679811477661,hold:local,
185,-0.6855469942092896,-0.685546875,-0.685547,-0.614991,-0.07055586576461792,hold:local,
186,-0.65625,-0.65625,-0.65625,-0.611256,-0.04499399662017822,local,
187,-0.6132810115814209,-0.61328125,-0.613281,-0.609805,-0.003476262092590332,local,
188,-0.6010739803314209,-0.60107421875,-0.601074,-0.609805,0.008730769157409668,local,
189,-0.5825200080871582,-0.58251953125,-0.58252,-0.607032,0.02451246976852417,hold:local,
190,-0.7451170086860657,-0.7451171875,-0.745117,-0.606731,-0.13838618993759155,local,trajectory_extended:0.5033s
191,-0.7392579913139343,-0.7392578125,-0.739258,-0.606731,-0.13252681493759155,local,
192,-0.7333980202674866,-0.7333984375,-0.733398,-0.603804,-0.12959444522857666,hold:local,
193,-0.7055659890174866,-0.70556640625,-0.705566,-0.60109,-0.10447639226913452,local,
194,-0.7001950144767761,-0.7001953125,-0.700195,-0.599639,-0.10055631399154663,local,trajectory_extended:0.2802s
195,-0.6826170086860657,-0.6826171875,-0.682617,-0.597963,-0.08465421199798584,local,
196,-0.7636719942092896,-0.763671875,-0.763672,-0.597963,-0.16570889949798584,local,trajectory_extended:0.2438s
197,-0.7509769797325134,-0.7509765625,-0.750977,-0.596848,-0.1541285514831543,hold:local,
198,-0.7250980138778687,-0.72509765625,-0.725098,-0.590176,-0.13492166996002197,hold:local,
199,-0.6875,-0.6875,-0.6875,-0.589031,-0.09846901893615723,local,trajectory_extended:0.1885s
200,-0.6889650225639343,-0.68896484375,-0.688965,-0.588571,-0.10039383172988892,hold:local,
201,-0.6723629832267761,-0.67236328125,-0.672363,-0.588571,-0.08379226922988892,hold:local,
202,-0.3798829913139343,-0.3798828125,-0.379883,-0.588571,0.20868819952011108,hold:local,
203,-0.3720700144767761,-0.3720703125,-0.37207,-0.5884,0.2163296937942505,local,
204,-0.3720700144767761,-0.3720703125,-0.37207,-0.588382,0.21631169319152832,local,
205,-0.3618159890174866,-0.36181640625,-0.361816,-0.588382,0.22656559944152832,local,
206,-0.3505859971046448,-0.3505859375,-0.350586,-0.588382,0.23779606819152832,local,
207,-0.3598630130290985,-0.35986328125,-0.359863,-0.588423,0.2285597324371338,local,
208,-0.973143994808197,-0.97314453125,-0.973145,-0.588423,-0.3847215175628662,local,
209,-0.9653319716453552,-0.96533203125,-0.965332,-0.588423,-0.3769090175628662,local,
210,-0.9316409826278687,-0.931640625,-0.931641,-0.588441,-0.34319961071014404,local,
211,-0.8808590173721313,-0.880859375,-0.880859,-0.588441,-0.29241836071014404,local,
212,-0.8652340173721313,-0.865234375,-0.865234,-0.588441,-0.27679336071014404,local,
213,-0.8398439884185791,-0.83984375,-0.839844,-0.588441,-0.25140273571014404,local,
214,-1.296875,-1.296875,-1.296875,-0.588459,-0.7084159851074219,local,trajectory_extended:0.3537s
215,-1.2998050451278687,-1.2998046875,-1.299805,-0.588518,-0.7112866640090942,hold:local,
216,-1.2636719942092896,-1.263671875,-1.263672,-0.588476,-0.6751958727836609,hold:local,
217,-1.1875,-1.1875,-1.1875,-0.587621,-0.5998790264129639,local,trajectory_extended:0.3373s
218,-1.171875,-1.171875,-1.171875,-0.587621,-0.5842540264129639,local,
219,-1.1318360567092896,-1.1318359375,-1.131836,-0.584689,-0.5471469163894653,local,trajectory_extended:0.2126s
220,-0.9257810115814209,-0.92578125,-0.925781,-0.584305,-0.3414762616157532,local,trajectory_extended:0.1718s
221,-0.9111329913139343,-0.9111328125,-0.911133,-0.584305,-0.3268278241157532,local,trajectory_extended:0.1718s
222,-0.8798829913139343,-0.8798828125,-0.879883,-0.584305,-0.2955778241157532,local,trajectory_extended:0.2246s
223,-0.8217769861221313,-0.82177734375,-0.821777,-0.584305,-0.23747235536575317,local,trajectory_extended:0.2246s
224,-0.8095700144767761,-0.8095703125,-0.80957,-0.584877,-0.22469329833984375,hold:local,
225,-0.7734379768371582,-0.7734375,-0.773438,-0.584877,-0.18856048583984375,hold:local,
226,-0.8818359971046448,-0.8818359375,-0.881836,-0.585385,-0.2964509129524231,local,
227,-0.8774409890174866,-0.87744140625,-0.877441,-0.586152,-0.29128938913345337,local,trajectory_extended:0.2600s
228,-0.8549799919128418,-0.85498046875,-0.85498,-0.589031,-0.2659494876861572,hold:local,
229,-0.7983400225639343,-0.79833984375,-0.79834,-0.589031,-0.20930886268615723,hold:local,
230,-0.7802730202674866,-0.7802734375,-0.780273,-0.589031,-0.19124245643615723,local,trajectory_extended:0.2359s
231,-0.7563480138778687,-0.75634765625,-0.756348,-0.589031,-0.16731667518615723,local,trajectory_extended:0.2359s
232,-1.1572259664535522,-1.1572265625,-1.157227,-0.591385,-0.565841555595398,local,
233,-1.1484379768371582,-1.1484375,-1.148438,-0.592689,-0.5557485222816467,local,trajectory_extended:0.1147s
234,-1.1240240335464478,-1.1240234375,-1.124023,-0.597999,-0.5260244607925415,hold:local,
235,-1.0791020393371582,-1.0791015625,-1.079102,-0.600937,-0.47816455364227295,local,
236,-1.0605469942092896,-1.060546875,-1.060547,-0.600937,-0.45960986614227295,local,trajectory_extended:0.3000s
237,-1.0185550451278687,-1.0185546875,-1.018555,-0.601138,-0.41741669178009033,local,trajectory_extended:0.2664s
238,-1.3720699548721313,-1.3720703125,-1.37207,-0.601138,-0.7709323167800903,local,trajectory_extended:0.2664s
239,-1.3662110567092896,-1.3662109375,-1.366211,-0.608235,-0.7579759359359741,local,trajectory_extended:0.2496s
240,-1.3349610567092896,-1.3349609375,-1.334961,-0.608766,-0.7261949181556702,local,trajectory_extended:0.2073s
241,-1.2441409826278687,-1.244140625,-1.244141,-0.608766,-0.6353746056556702,local,trajectory_extended:0.2073s
242,-1.222656011581421,-1.22265625,-1.222656,-0.621899,-0.6007572412490845,hold:local,
243,-1.1748050451278687,-1.1748046875,-1.174805,-0.629853,-0.5449516773223877,hold:local,
244,-0.6904299855232239,-0.6904296875,-0.69043,-0.64121,-0.04921966791152954,hold:local,
245,-0.6899409890174866,-0.68994140625,-0.689941,-0.646012,-0.04392939805984497,hold:local,
246,-0.6708980202674866,-0.6708984375,-0.670898,-0.656868,-0.01403045654296875,hold:local,
247,-0.6459959745407104,-0.64599609375,-0.645996,-0.656868,0.01087188720703125,hold:local,
248,-0.6308590173721313,-0.630859375,-0.630859,-0.6674,0.03654062747955322,local,
249,-0.6015620231628418,-0.6015625,-0.601562,-0.6674,0.06583750247955322,hold:local,
250,-1.3779300451278687,-1.3779296875,-1.37793,-0.673229,-0.7047007083892822,hold:local,
251,-1.359375,-1.359375,-1.359375,-0.687052,-0.6723229885101318,hold:local,
252,-1.3417969942092896,-1.341796875,-1.341797,-0.697035,-0.644761860370636,local,
253,-1.2802740335464478,-1.2802734375,-1.280273,-0.697035,-0.583238422870636,local,
254,-1.254883050918579,-1.2548828125,-1.254883,-0.700929,-0.5539538264274597,local,trajectory_extended:0.4805s
255,-1.2119139432907104,-1.2119140625,-1.211914,-0.703495,-0.5084190368652344,local,
256,-0.3237299919128418,-0.32373046875,-0.32373,-0.70697,0.3832395076751709,hold:local,
257,-0.3232420086860657,-0.3232421875,-0.323242,-0.711437,0.3881947994232178,hold:local,
258,-0.32177698612213135,-0.32177734375,-0.321777,-0.711437,0.3896596431732178,hold:local,
259,-0.3203119933605194,-0.3203125,-0.320312,-0.712611,0.39229851961135864,local,
260,-0.3208009898662567,-0.32080078125,-0.320801,-0.714328,0.39352720975875854,local,
261,-0.3198240101337433,-0.31982421875,-0.319824,-0.714328,0.39450377225875854,local,
262,-1.2744139432907104,-1.2744140625,-1.274414,-0.719301,-0.5551130771636963,local,
263,-1.2900389432907104,-1.2900390625,-1.290039,-0.723708,-0.5663310885429382,hold:local,
264,-1.2890620231628418,-1.2890625,-1.289062,-0.723708,-0.5653545260429382,hold:local,
265,-1.2939449548721313,-1.2939453125,-1.293945,-0.728765,-0.5651803016662598,local,
266,-1.3037110567092896,-1.3037109375,-1.303711,-0.735113,-0.5685979127883911,local,
267,-1.3046879768371582,-1.3046875,-1.304688,-0.735113,-0.5695744752883911,local,
268,-1.5087889432907104,-1.5087890625,-1.508789,-0.735113,-0.7736760377883911,local,
269,-1.5136719942092896,-1.513671875,-1.513672,-0.747532,-0.7661398649215698,local,trajectory_extended:0.4421s
270,-1.5078120231628418,-1.5078125,-1.507812,-0.750329,-0.7574834823608398,local,
271,-1.5068360567092896,-1.5068359375,-1.506836,-0.750329,-0.7565069198608398,local,trajectory_extended:0.4503s
272,-1.5078120231628418,-1.5078125,-1.507812,-0.752235,-0.7555775046348572,local,
273,-1.5058590173721313,-1.505859375,-1.505859,-0.753084,-0.7527753710746765,local,
274,-1.5234379768371582,-1.5234375,-1.523438,-0.754465,-0.7689725160598755,hold:local,
275,-1.526366949081421,-1.5263671875,-1.526367,-0.758872,-0.7674952149391174,local,trajectory_extended:0.3194s
276,-1.520508050918579,-1.5205078125,-1.520508,-0.767946,-0.7525618076324463,hold:local,
277,-1.5234379768371582,-1.5234375,-1.523438,-0.771657,-0.7517805099487305,local,
278,-1.519531011581421,-1.51953125,-1.519531,-0.775663,-0.7438682317733765,local,
279,-1.5214840173721313,-1.521484375,-1.521484,-0.775663,-0.7458213567733765,local,trajectory_extended:0.2295s
280,-1.3417969942092896,-1.341796875,-1.341797,-0.77915,-0.5626468658447266,local,trajectory_extended:0.2295s
281,-1.34375,-1.34375,-1.34375,-0.782891,-0.5608590245246887,hold:local,
282,-1.3369139432907104,-1.3369140625,-1.336914,-0.788484,-0.5484300851821899,hold:local,
283,-1.333008050918579,-1.3330078125,-1.333008,-0.791623,-0.5413848161697388,hold:local,
284,-1.3359379768371582,-1.3359375,-1.335938,-0.791623,-0.5443145036697388,hold:local,
285,-1.3349610567092896,-1.3349609375,-1.334961,-0.791623,-0.5433379411697388,hold:local,
286,-1.5693360567092896,-1.5693359375,-1.569336,-0.801989,-0.7673469185829163,local,
287,-1.5693360567092896,-1.5693359375,-1.569336,-0.8098,-0.7595359086990356,local,trajectory_extended:0.2319s
288,-1.5693360567092896,-1.5693359375,-1.569336,-0.8098,-0.7595359086990356,local,
